Место,Команда,Всего игр,Побед,Ничьих,Поражений,Забитых мячей,Пропущенных мячей,Разница,Всего очков
1,Зенит,9,7,2,0,22,2,20,23
2,Краснодар,9,6,3,0,16,5,11,21
3,Локомотив,9,7,0,2,22,13,9,21
4,Динамо,9,5,2,2,17,10,7,17
5,Спартак,9,4,4,1,13,6,7,16
6,ЦСКА,9,4,2,3,16,6,10,14
7,Ростов,9,3,3,3,13,15,-2,12
8,Рубин,9,3,2,4,12,15,-3,11
9,Динамо Мх,9,2,4,3,4,7,-3,10
10,Крылья Советов,9,3,1,5,9,14,-5,10
11,Акрон,9,2,2,5,12,18,-6,8
12,Пари НН,9,2,1,6,7,18,-11,7
13,Оренбург,9,1,4,4,11,17,-6,7
14,Химки,9,1,4,4,9,16,-7,7
15,Ахмат,9,0,6,3,7,15,-8,6
16,Факел,9,1,2,6,4,17,-13,5
